Variable Position	Variable Name	Code	Label
26	occ10	8800	Packaging and filling machine operators and tenders
26	occ10	8760	Medical  dental  and ophthalmic laboratory technicians
26	occ10	8750	Jewelers and precious stone and metal workers
26	occ10	8740	Inspectors  testers  sorters  samplers  and weighers
26	occ10	8730	operators  and tenders furnace  kiln  oven  drier  and kettle operators and tenders
26	occ10	8720	Extruding  forming  pressing  and compacting machine setters 
26	occ10	8710	Cutting workers
26	occ10	8650	Crushing  grinding  polishing  mixing  and blending workers
26	occ10	8640	Chemical processing machine setters  operators  and tenders
26	occ10	8630	Miscellaneous plant and system operators
26	occ10	8620	Water and wastewater treatment plant and system operators
26	occ10	8610	Stationary engineers and boiler operators
26	occ10	8600	Power plant operators  distributors  and dispatchers
26	occ10	8550	Woodworkers  all other
26	occ10	8540	Woodworking machine setters  operators  and tenders  except sawing
26	occ10	8530	Sawing machine setters  operators  and tenders  wood
26	occ10	8520	Model makers and patternmakers  wood
26	occ10	8510	Furniture finishers
26	occ10	8500	Cabinetmakers and bench carpenters
26	occ10	8460	Textile  apparel  and furnishings workers  all other
26	occ10	8450	Upholsterers
26	occ10	8440	Fabric and apparel patternmakers
26	occ10	8430	Extruding and forming machine setters  operators  and tenders   synthetic and glass fibers
26	occ10	8420	Textile winding  twisting  and drawing out machine setters  operators   and tenders
26	occ10	8410	Textile knitting and weaving machine setters  operators  and tenders
26	occ10	8400	Textile cutting machine setters  operators  and tenders
26	occ10	8360	Textile bleaching and dyeing machine operators and tenders
26	occ10	8350	Tailors  dressmakers  and sewers
26	occ10	8340	Shoe machine operators and tenders
26	occ10	8330	Shoe and leather workers and repairers
26	occ10	8320	Sewing machine operators
26	occ10	8310	Pressers  textile  garment  and related materials
26	occ10	8300	Laundry and drytocleaning workers
26	occ10	8256	Print binding and finishing workers
26	occ10	8255	Printing press operators
26	occ10	8250	Prepress technicians and workers
26	occ10	8220	Metal workers and plastic workers  all other
26	occ10	8210	Tool grinders  filers  and sharpeners
26	occ10	8200	Plating and coating machine setters  operators  and tenders  metal  and plastic
26	occ10	8160	Layout workers  metal and plastic
26	occ10	8150	Heat treating equipment setters  operators  and tenders  metal and plastic
26	occ10	8140	Welding  soldering  and brazing workers
26	occ10	8130	Tool and die makers
26	occ10	8120	Multiple machine tool setters  operators  and tenders  metal and plastic
26	occ10	8100	Molders and molding machine setters  operators  and tenders  metal and plastic
26	occ10	8060	Model makers and patternmakers  metal and plastic
26	occ10	8040	Metal furnace operators  tenders  pourers  and casters
26	occ10	8030	Machinists
26	occ10	8020	Milling and planing machine setters  operators  and tenders  metal  and plastic
26	occ10	8010	Lathe and turning machine tool setters  operators  and tenders  metal and plastic
26	occ10	8000	Grinding  lapping  polishing  and buffing machine tool setters   operators  and tenders  metal and plastic
26	occ10	7960	Drilling and boring machine tool setters  operators  and tenders   metal and plastic
26	occ10	7950	Cutting  punching  and press machine setters  operators  and tenders  metal and plastic
26	occ10	7940	Rolling machine setters  operators  and tenders  metal and plastic
26	occ10	7930	Forging machine setters  operators  and tenders  metal and plastic
26	occ10	7920	Extruding and drawing machine setters  operators  and tenders   metal and plastic
26	occ10	7900	Computer control programmers and operators
26	occ10	7855	Food processing workers  all other
26	occ10	7850	Food cooking machine operators and tenders
26	occ10	7840	Food batchmakers
26	occ10	7830	Food and tobacco roasting  baking  and drying machine operators and tenders
26	occ10	7810	Butchers and other meat  poultry  and fish processing workers
26	occ10	7800	Bakers
26	occ10	7750	Miscellaneous assemblers and fabricators
26	occ10	7740	Structural metal fabricators and fitters
26	occ10	7730	Engine and other machine assemblers
26	occ10	7720	Electrical  electronics  and electromechanical assemblers
26	occ10	7710	Aircraft structure  surfaces  rigging  and systems assemblers
26	occ10	7700	Firsttoline supervisors of production and operating workers
26	occ10	7630	Other installation  maintenance  and repair workers
26	occ10	7610	Helpers and installation   maintenance  and repair workers
26	occ10	7600	Signal and track switch repairers
26	occ10	7560	Riggers
26	occ10	7550	Manufactured building and mobile home installers
26	occ10	7540	Locksmiths and safe repairers
26	occ10	7520	Commercial divers
26	occ10	7510	Coin  vending  and amusement machine servicers and repairers
26	occ10	7440	Wind turbine service technicians
26	occ10	7430	Precision instrument and equipment repairers
26	occ10	7420	Telecommunications  line installers and repairers
26	occ10	7410	Electrical powertoline installers and repairers
26	occ10	7360	Millwrights
26	occ10	7350	Maintenance workers  machinery
26	occ10	7340	Maintenance and repair workers  general
26	occ10	7330	Industrial and refractory machinery mechanics
26	occ10	7320	Home appliance repairers
26	occ10	7315	Heating  air conditioning  and refrigeration mechanics and installers
26	occ10	7300	Control and valve installers and repairers
26	occ10	7260	Miscellaneous vehicle and mobile equipment mechanics  installers  and repairers
26	occ10	7240	Small engine mechanics
26	occ10	7220	Heavy vehicle and mobile equipment service technicians and mechanics
26	occ10	7210	Bus and truck mechanics and diesel engine specialists
26	occ10	7200	Automotive service technicians and mechanics
26	occ10	7160	Automotive glass installers and repairers
26	occ10	7150	Automotive body and related repairers
26	occ10	7140	Aircraft mechanics and service technicians
26	occ10	7130	Security and fire alarm systems installers
26	occ10	7120	Electronic home entertainment equipment installers and repairers
26	occ10	7110	Electronic equipment installers and repairers  motor vehicles
26	occ10	7100	Electrical and electronics repairers  industrial and utility
26	occ10	7050	Electrical and electronics installers and repairers  transportation
26	occ10	7040	Electric motor  power tool  and related repairers
26	occ10	7030	Avionics technicians
26	occ10	7020	Radio and telecommunications equipment installers and repairers
26	occ10	7010	Computer  automated teller  and office machine repairers
26	occ10	7000	Firsttoline supervisors of mechanics  installers  and repairers
26	occ10	6940	Other extraction workers
26	occ10	6930	Helpers and extraction workers
26	occ10	6920	Roustabouts  oil and gas
26	occ10	6910	Roof bolters  mining
26	occ10	6840	Mining machine operators
26	occ10	6830	Explosives workers  ordnance handling experts  and blasters
26	occ10	6820	Earth drillers  except oil and gas
26	occ10	6800	Derrick  rotary drill  and service unit operators  oil  gas  and mining
26	occ10	6765	Miscellaneous construction and related workers
26	occ10	6750	Septic tank servicers and sewer pipe cleaners
26	occ10	6740	Railtotrack laying and maintenance equipment operators
26	occ10	6730	Highway maintenance workers
26	occ10	6720	Hazardous materials removal workers
26	occ10	6710	Fence erectors
26	occ10	6700	Elevator installers and repairers
26	occ10	6660	Construction and building inspectors
26	occ10	6600	Helpers  construction trades
26	occ10	6540	Solar photovoltaic installers
26	occ10	6530	Structural iron and steel workers
26	occ10	6520	Sheet metal workers
26	occ10	6515	Roofers
26	occ10	6500	Reinforcing iron and rebar workers
26	occ10	6460	Plasterers and stucco masons
26	occ10	6440	Pipelayers  plumbers  pipefitters  and steamfitters
26	occ10	6430	Paperhangers
26	occ10	6420	Painters  construction and maintenance
26	occ10	6400	Insulation workers
26	occ10	6360	Glaziers
26	occ10	6355	Electricians
26	occ10	6330	Drywall installers  ceiling tile installers  and tapers
26	occ10	6320	Operating engineers and other construction equipment  operators
26	occ10	6310	Piletodriver operators
26	occ10	6300	Paving  surfacing  and tamping equipment operators
26	occ10	6260	Construction laborers
26	occ10	6250	Cement masons  concrete finishers  and terrazzo workers
26	occ10	6240	Carpet  floor  and tile installers and finishers
26	occ10	6230	Carpenters
26	occ10	6220	Brickmasons  blockmasons  and stonemasons
26	occ10	6210	Boilermakers
26	occ10	6200	Firsttoline supervisors of construction trades and extraction workers
26	occ10	6130	Logging workers
26	occ10	6120	Forest and conservation workers
26	occ10	6110	Hunters and trappers
26	occ10	6100	Fishers and related fishing workers
26	occ10	6050	Miscellaneous agricultural workers
26	occ10	6040	Graders and sorters  agricultural products
26	occ10	6020	Animal breeders
26	occ10	6010	Agricultural inspectors
26	occ10	6005	Firsttoline supervisors of farming  fishing  and forestry workers
26	occ10	5940	Office and administrative support workers  all other
26	occ10	5920	Statistical assistants
26	occ10	5910	Proofreaders and copy markers
26	occ10	5900	Office machine operators  except computer
26	occ10	5860	Office clerks  general
26	occ10	5850	Mail clerks and mail machine operators  except postal service
